"day","1","2","3","4","5","6","7","8","9","10","11","12"
2020-02-23,14969.4285714286,16552.8571428571,3037.42857142857,11470.2857142857,37934.2857142857,18353.2857142857,0,1019.42857142857,7669.57142857143,10787.4285714286,31770.5714285714,538.142857142857
2020-02-24,15896.1428571429,17983.7142857143,3314.28571428571,12353,40498.2857142857,20100.4285714286,0,1152.28571428571,7854.57142857143,11760.1428571429,32842.2857142857,588.571428571429
2020-02-25,15734,17777,3338.42857142857,12378.4285714286,39727.1428571429,19633.5714285714,0,1204.14285714286,7851.85714285714,11766.7142857143,32571.8571428571,574.428571428571
2020-02-26,15847.2857142857,17715,3338.42857142857,12333.4285714286,39368,19501.7142857143,0,1224.57142857143,7937.28571428571,12120.7142857143,32493.8571428571,573.571428571429
2020-02-27,15537.4285714286,17010.2857142857,3238.57142857143,11815.5714285714,37273.8571428571,18171.8571428571,0,1183.85714285714,7861,12035,31904.7142857143,535.285714285714
2020-02-28,15811.7142857143,17303.5714285714,3265.57142857143,11887.7142857143,37355.2857142857,18020.5714285714,0,1209.42857142857,7975.71428571429,12573.2857142857,32085.8571428571,528.857142857143
2020-02-29,15287.1428571429,16647.1428571429,3238,11593,35658.5714285714,16672,0,1209.42857142857,7898.57142857143,12270.8571428571,31184.2857142857,523.428571428571
2020-03-01,15576.2857142857,18352.7142857143,3264.42857142857,11664.8571428571,37061,18665.8571428571,0,1213.85714285714,7926.42857142857,12808.7142857143,31549,556.428571428571
2020-03-02,15116.7142857143,17251,3072.28571428571,11075.7142857143,34903.2857142857,17201.2857142857,0,1157.57142857143,7812.42857142857,12280.1428571429,30670.4285714286,517.571428571429
2020-03-03,15202.2857142857,17603.2857142857,3080,11190,36060,17769.1428571429,0,1141.85714285714,7871.57142857143,12591.8571428571,30837.4285714286,529.428571428571
2020-03-04,15724.1428571429,18630.1428571429,3284.57142857143,11867.7142857143,37785.8571428571,18998.5714285714,0,1240.57142857143,7931.85714285714,13020.8571428571,31645.8571428571,575.571428571429
2020-03-05,15264.7142857143,18345.8571428571,3244.14285714286,11676.7142857143,37007.5714285714,18647.1428571429,0,1223,7842.42857142857,12858.1428571429,30953.4285714286,568
2020-03-06,14676.2857142857,17534.8571428571,3159.42857142857,11318.1428571429,35685.2857142857,17714.1428571429,0,1206.42857142857,7663,12523,29740.5714285714,547.714285714286
2020-03-07,14894.1428571429,17379.5714285714,3173,11475.4285714286,36559.4285714286,18019.2857142857,0,1203.28571428571,7648.28571428571,12545,29442.4285714286,552.571428571429
2020-03-08,14809.2857142857,16927.5714285714,3199.57142857143,11537.5714285714,36155.1428571429,17226.8571428571,0,1205.14285714286,7623.71428571429,12416.5714285714,29028.8571428571,542.285714285714
2020-03-09,14616.1428571429,16661.5714285714,3191.28571428571,11449.7142857143,36429,17321.7142857143,0,1167.42857142857,7553,12372.1428571429,28336,538.285714285714
2020-03-10,13942.5714285714,15798.8571428571,3060.85714285714,10850.1428571429,34731.2857142857,16207.8571428571,0,1104.57142857143,7399.14285714286,11825.5714285714,26999.8571428571,513.142857142857
2020-03-11,13822.5714285714,16055.7142857143,3133.14285714286,10769.8571428571,35763.8571428571,16598.8571428571,0,1133.42857142857,7321.42857142857,11909.4285714286,26438.8571428571,519
2020-03-12,14485.8571428571,17360.7142857143,3473.28571428571,11851.1428571429,38762.1428571429,18474.7142857143,0,1293.42857142857,7428.85714285714,12587,26899.1428571429,586.857142857143
2020-03-13,14646.4285714286,18017.4285714286,3717.14285714286,12472,40063.8571428571,19632.7142857143,0,1377.57142857143,7423.14285714286,12950.7142857143,27156.7142857143,643.857142857143
2020-03-14,14184.8571428571,18216.1428571429,3821.28571428571,12546,39182.5714285714,19549.4285714286,0,1418.85714285714,7346.28571428571,13171.2857142857,27019.2857142857,672.571428571429
2020-03-15,14281.4285714286,18976,3980.57142857143,12722,39073.5714285714,19914.1428571429,0,1458.85714285714,7254.71428571429,13642.7142857143,27361.4285714286,735.142857142857
2020-03-16,14600,20159.5714285714,4231.85714285714,13332,40758.8571428571,21308.7142857143,0,1594.14285714286,7039.28571428571,13900.8571428571,28136,817.714285714286
2020-03-17,14692.8571428571,21190.1428571429,4369,13501.1428571429,41805.7142857143,23088.7142857143,0,1678.14285714286,6600,14551.1428571429,28033.1428571429,900.714285714286
2020-03-18,14080.2857142857,21251.1428571429,4285.14285714286,13016,40145.7142857143,23158.7142857143,0,1621.42857142857,6100.71428571429,14696.7142857143,27309.5714285714,939.857142857143
2020-03-19,13365.4285714286,21353,4133.14285714286,12177.8571428571,38438.4285714286,23120.8571428571,0,1550.42857142857,5543.28571428571,14589.2857142857,26425,973.428571428571
2020-03-20,12455.2857142857,21121.1428571429,4001.28571428571,11307.4285714286,36111.4285714286,22235.1428571429,0,1488.71428571429,4979.71428571429,14232.2857142857,25154.5714285714,988
2020-03-21,11516,19978.2857142857,3818.42857142857,10546.5714285714,32057.4285714286,19975,0,1429,4631.14285714286,13979.4285714286,23207,974.571428571429
2020-03-22,10584.1428571429,17025.8571428571,3576.71428571429,9911.71428571429,27290.7142857143,15761.7142857143,0,1367,4407.42857142857,13239,21169.5714285714,908.285714285714
2020-03-23,9434.14285714286,15563.4285714286,3261.71428571429,8841.71428571429,23507.5714285714,13223.5714285714,0,1226,3981.28571428571,12980.7142857143,18877.7142857143,828.857142857143
