"day","1","2","3","4","5","6","7","8","9","10","11","12"
2020-04-19,5,9,9,7,3,3,5,9,2,10,2,10
2020-04-20,7,8,9,7,3,3,5,9,3,10,3,9
2020-04-21,6,9,9,8,3,3,5,10,2,10,2,10
2020-04-22,6,9,10,8,3,3,5,10,3,10,3,10
2020-04-23,7,10,10,9,3,3,5,10,3,8,3,10
2020-04-24,5,9,10,9,3,3,5,10,3,3,3,10
2020-04-25,4,10,10,9,4,3,5,10,3,1,2,10
2020-04-26,4,10,10,9,4,3,5,10,3,1,2,10
2020-04-27,4,10,10,10,4,3,5,10,4,1,3,10
2020-04-28,3,10,10,9,3,3,5,10,4,1,3,10
2020-04-29,3,8,10,8,3,4,5,9,4,1,2,9
