"week","knr","2019","2020","difference_people","percrank","0","color"
"12",4,105512,69382,-36130,1,0,"lightblue"
"12",5,320566,191035,-129531,0,0,"lightblue"
"12",6,162706,110332,-52374,1,0,"lightblue"
"12",8,10189,9569,-620,1,0,"lightblue"
"12",9,85827,30852,-54975,3,0,"lightblue"
"12",10,99339,92673,-6666,2,0,"lightblue"
"12",11,248450,148187,-100263,2,0,"lightblue"
"12",12,4135,6358,2223,5,0,"lightblue"
"13",1,248599,56311,-192288,0,0,"lightblue"
"13",2,152355,80234,-72121,1,0,"lightblue"
"13",3,33207,18515,-14692,0,0,"lightblue"
"13",4,116387,52345,-64042,0,0,"lightblue"
"13",5,327552,107954,-219598,0,0,"lightblue"
"13",6,162774,32455,-130319,0,0,"lightblue"
"13",8,11613,7399,-4214,0,0,"lightblue"
"13",9,88253,23526,-64727,0,0,"lightblue"
"13",10,107990,80568,-27422,1,0,"lightblue"
"13",11,250878,107145,-143733,0,0,"lightblue"
"13",12,4391,4547,156,2,0,"lightblue"
"14",1,201816,65132,-136684,1,0,"lightblue"
"14",2,135351,98155,-37196,4,0,"lightblue"
"14",3,27566,21778,-5788,3,0,"lightblue"
"14",4,100249,61812,-38437,0,0,"lightblue"
"14",5,224588,128534,-96054,1,0,"lightblue"
"14",6,54491,36543,-17948,2,0,"lightblue"
"14",8,9896,8252,-1644,0,0,"lightblue"
"14",9,87806,26603,-61203,1,0,"lightblue"
"14",10,18946,91347,72401,9,0,"lightblue"
"14",11,227676,126047,-101629,1,0,"lightblue"
"14",12,3706,5944,2238,5,0,"lightblue"
"15",1,208138,90725,-117413,2,0,"lightblue"
"15",2,113219,122669,9450,7,0,"lightblue"
"15",3,25480,28055,2575,6,0,"lightblue"
"15",4,99747,76295,-23452,1,0,"lightblue"
"15",5,221000,155980,-65020,1,0,"lightblue"
"15",6,52547,47937,-4610,3,0,"lightblue"
"15",8,9085,10514,1429,4,0,"lightblue"
"15",9,79748,28883,-50865,5,0,"lightblue"
"15",10,18568,96586,78018,10,0,"lightblue"
"15",11,212902,150605,-62297,4,0,"lightblue"
"15",12,3316,8371,5055,7,0,"lightblue"
"16",1,206111,101551,-104560,2,0,"lightblue"
