"week","knr","2019","2020","difference_people","percrank","0","color"
"51",8,8969,10374,1405,4,0,"lightblue"
"51",9,73401,16770,-56631,2,0,"lightblue"
"51",10,81709,85575,3866,8,0,"lightblue"
"51",11,235448,137810,-97638,2,0,"lightblue"
"51",12,3806,4031,225,2,0,"lightblue"
"52",1,99462,91949,-7513,9,0,"lightblue"
"52",2,51926,57590,5664,7,0,"lightblue"
"52",3,7359,9934,2575,6,0,"lightblue"
"52",4,28640,46221,17581,6,0,"lightblue"
"52",5,133661,176200,42539,9,0,"lightblue"
"52",6,57250,78216,20966,8,0,"lightblue"
"52",8,2151,5376,3225,6,0,"lightblue"
"52",9,39286,16607,-22679,8,0,"lightblue"
"52",10,45963,63815,17852,9,0,"lightblue"
"52",11,127289,107544,-19745,7,0,"lightblue"
"52",12,1134,2356,1222,4,0,"lightblue"
"29",12,NA,7344,NA,8,0,"lightblue"
"30",12,NA,7188,NA,8,0,"lightblue"
"31",12,NA,6417,NA,8,0,"lightblue"
"32",12,NA,6326,NA,8,0,"lightblue"
"33",12,NA,8046,NA,8,0,"lightblue"
"34",12,NA,8193,NA,9,0,"lightblue"
"35",12,NA,7688,NA,9,0,"lightblue"
"36",12,NA,8618,NA,9,0,"lightblue"
"37",12,NA,9405,NA,9,0,"lightblue"
"38",12,NA,9075,NA,9,0,"lightblue"
"39",12,NA,7188,NA,10,0,"lightblue"
"40",12,NA,6793,NA,10,0,"lightblue"
"53",1,NA,58362,NA,10,0,"lightblue"
"53",2,NA,26358,NA,10,0,"lightblue"
"53",3,NA,5000,NA,10,0,"lightblue"
"53",4,NA,23877,NA,10,0,"lightblue"
"53",5,NA,96282,NA,10,0,"lightblue"
"53",6,NA,43014,NA,10,0,"lightblue"
"53",8,NA,2332,NA,10,0,"lightblue"
"53",9,NA,7529,NA,10,0,"lightblue"
"53",10,NA,35114,NA,10,0,"lightblue"
"53",11,NA,71437,NA,10,0,"lightblue"
"53",12,NA,1234,NA,10,0,"lightblue"
